P(bar),L(mmol/g)
2.02E-02,-0.00550373
5.01E-02,0.0047117298
1.00E-01,0.023782378
1.52E-01,0.0492248242
2.00E-01,0.0727163548
2.51E-01,0.1067052435
3.01E-01,0.1374500637
4.00E-01,0.174745665
5.02E-01,0.2230084552
6.02E-01,0.2654721932
7.02E-01,0.3106564742
8.00E-01,0.3501893641
9.02E-01,0.4064929695
9.97E-01,0.4530912169
9.00E-01,0.4458110798
8.00E-01,0.4316937886
7.00E-01,0.4174691075
6.00E-01,0.3937270007
5.00E-01,0.3726785893
4.00E-01,0.3401439382
2.97E-01,0.3089516602
1.98E-01,0.2697543636
9.79E-02,0.2261361847
4.88E-02,0.1850774639
