L(mol/L),P(bar)
0.3358872790836789,1.0010126811594104
0.3317113704895923,0.9936702898546516
0.32475487697730987,0.9838804347829905
0.32057896838399397,0.9765380434782315
0.3136157665844526,0.9618532608697268
0.3108251192357536,0.9520634057970524
0.30247330204835104,0.9373786231885477
0.2968987156374415,0.9226938405800429
0.29689536149342666,0.9202463768111144
0.2871415123451863,0.8957717391299355
0.28155015521651455,0.8688496376808412
0.27458359927372894,0.8517173913044213
0.26623178208709714,0.8370326086959166
0.2578631941827031,0.8101105072468223
0.2481026367472037,0.7807409420287995
0.2383420793117043,0.75137137681179
0.22301028960853955,0.7097644927531777
0.20905705286273268,0.6608152173908197
0.19093126166608343,0.6069710144926312
0.17837670273864092,0.5653641304350323
0.158852233724398,0.5041775362320847
0.14351038159073,0.45522826086972673
0.12817188360030624,0.40872644927528395
0.11283338560988244,0.3622246376808413
0.09610291808835333,0.31327536231848324
0.0807577118114412,0.26187862318821
0.06402389014635965,0.21048188405793675
0.05844259544788278,0.19090217391258824
0.052861300749482976,0.171322463768253
0.04311080574448679,0.14929528985498927
0.03612747908455557,0.11992572463797974
0.03054953852955407,0.10279347826054651
0.023579628443447267,0.08321376811590728
0.015211040539284407,0.056291666666711704
0.008224359735877804,0.024474637681179
0.0012578037932155456,0.007342391304343567
