P(atm),L(cm3STP/g)
0.987394957983,158.961038961
0.976890756303,157.922077922
0.960084033613,155.844155844
0.939075630252,151.688311688
0.928571428571,150.12987013
0.90756302521,146.493506494
0.876050420168,143.376623377
0.863445378151,142.337662338
0.84243697479,139.220779221
0.817226890756,135.584415584
0.796218487395,132.987012987
0.768907563025,128.831168831
0.743697478992,125.714285714
0.691176470588,117.922077922
0.65756302521,112.207792208
0.598739495798,102.337662338
0.546218487395,95.5844155844
0.5,88.3116883117
0.449579831933,79.4805194805
0.397058823529,71.6883116883
0.350840336134,64.4155844156
0.294117647059,56.1038961039
0.254201680672,48.8311688312
0.197478991597,38.4415584416
0.176470588235,35.3246753247
0.153361344538,32.2077922078
0.140756302521,29.0909090909
