P(torr),L(ccSTP/g)
7.62574,0.2646916951
15.2241,0.5361729238
27.1887,0.9700853242
35.105,1.2578384528
42.7632,1.5303299204
78.4344,2.7742434585
116.292,4.0574630262
154.401,5.307963595
192.524,6.5152787258
230.597,7.6839817975
304.406,9.8509442548
380.604,11.937883959
456.829,13.8911262799
533.119,15.741410694
609.307,17.4823663254
685.61,19.1130830489
758.1,20.6149032992
751.283,20.4683731513
718.075,19.8389078498
642.871,18.2348122867
567.427,16.5370875995
491.422,14.7517633675
416.251,12.8905574516
339.466,10.8612172924
263.769,8.7193174061
188.28,6.4431171786
112.657,3.9865415245
40.7564,1.5030602958
