L(ccSTP/g),P(torr)
0.9489503356,3.04956
1.4284966443,4.57462
1.9058657718,6.09773
2.1438657718,6.86535
2.3704697987,7.59766
4.7099194631,15.2212
6.8451275168,22.5211
9.0048724832,30.2016
11.0764295302,37.856
19.615033557,74.1592
27.1582550336,113.395
33.393557047,153.898
37.6126174497,187.331
41.6434899329,225.712
45.0390604027,264.911
47.8861744966,303.94
50.2808053691,342.71
52.3393288591,381.354
54.1123489933,419.964
55.6789261745,458.358
57.0503355705,496.659
58.288590604,534.971
59.3853691275,573.246
60.3865771812,611.366
61.2766442953,649.557
62.0856375839,687.729
62.7867114094,725.955
63.4726174497,760.171
63.3661744966,751.347
62.9029530201,717.76
61.5106040268,644.76
59.7216107383,569.6
57.5269798658,493.8
54.7406711409,418.958
51.1014765101,344.354
45.7452348993,263.603
38.7524832215,189.674
28.704295302,116.739
11.5628456376,36.9194
