P(kPa),L(mmol/g)
10.9510086455,0.154758785883
15.5619596542,0.228114824657
20.3170028818,0.273614816637
25.3602305476,0.365443531355
31.1239193084,0.447862141975
36.023054755,0.530441152096
40.6340057637,0.575967877326
45.8213256484,0.658493420947
51.8731988473,0.76868787861
55.9077809798,0.823597974689
61.9596541787,0.924515994504
66.8587896254,0.988542128929
71.613832853,1.08042431015
76.5129682997,1.20010907166
81.9884726225,1.68146797624
87.4639769452,2.2555912593
92.2190201729,2.69070164089
97.4063400576,2.88454443868
100.432276657,2.9767474189
